scientificName,decimalLatitude,decimalLongitude
Berberis hartwegii Benth.,16.003722,-96.127583
Berberis hartwegii Benth.,16.020389,-96.1275
Berberis hartwegii Benth.,17.307238,-96.57583
Berberis hartwegii Benth.,17.574722,-100.065556
Berberis hartwegii Benth.,17.597222,-99.825
Berberis hartwegii Benth.,17.695,-98.676111
Berberis hartwegii Benth.,20.305833,-98.713333
Berberis zimapana (Fedde) Marroq. & Laferr.,20.397611,-99.099741
Berberis paxii (Fedde) Marroq. & Laferr.,20.66761258,-99.51571803
Berberis hartwegii Benth.,20.731667,-98.711667
Odostemon paxii (Fedde) Standl.,20.741389,-99.436111
Berberis hartwegii Benth.,20.745556,-98.722778
Berberis hartwegii Benth.,20.751667,-98.754722
Berberis hartwegii Benth.,20.753056,-98.77
Berberis hartwegii Benth.,20.75361,-98.7728
Berberis hartwegii Benth.,20.753611,-98.772778
Berberis zimapana (Fedde) Marroq. & Laferr.,20.7625,-99.161944
Berberis hartwegii Benth.,20.80032117,-99.3213549
Berberis hartwegii Benth.,20.807222,-99.26
Berberis hartwegii Benth.,20.80890939,-99.44405484
Berberis hartwegii Benth.,20.819444,-99.373055
Berberis hartwegii Benth.,20.825556,-99.409444
Berberis paxii (Fedde) Marroq. & Laferr.,20.848333,-99.252778
Mahonia hartwegii (Benth.) Fedde,20.916667,-99.2
Berberis zimapana (Fedde) Marroq. & Laferr.,20.921944,-99.197778
Berberis hartwegii Benth.,20.923611,-99.205
Berberis hartwegii Benth.,20.924722,-99.207778
Berberis hartwegii Benth.,20.93319,-98.91581
Berberis paxii (Fedde) Marroq. & Laferr.,20.991389,-99.211944
Berberis paxii (Fedde) Marroq. & Laferr.,21.005,-99.19
Berberis hartwegii Benth.,21.073889,-99.175
Berberis hartwegii Benth.,21.10581,-99.68556
Berberis hartwegii Benth.,21.149949,-99.609449
Berberis hartwegii Benth.,21.197222,-99.209444
Berberis hartwegii Benth.,21.201528,-99.054194
Berberis hartwegii Benth.,21.201667,-99.222222
Berberis hartwegii Benth.,21.202608,-99.213672
Berberis hartwegii Benth.,21.205,-99.2175
Berberis hartwegii Benth.,21.255,-99.167222
Berberis hartwegii Benth.,21.261627,-99.156502
Berberis hartwegii Benth.,21.28802,-99.22177
Berberis hartwegii Benth.,21.309167,-99.666667
Berberis hartwegii Benth.,21.31125,-99.669333
Berberis hartwegii Benth.,21.352222,-99.090833
Berberis hartwegii Benth.,21.384722,-99.146389
Berberis hartwegii Benth.,21.391667,-99.161667
Berberis hartwegii Benth.,21.403056,-99.103055
Berberis hartwegii Benth.,21.403056,-99.103056
Berberis hartwegii Benth.,21.413344,-99.134286
Berberis hartwegii Benth.,21.443056,-99.053611
Berberis hartwegii Benth.,21.451667,-99.155278
Berberis hartwegii Benth.,21.458333,-99.041667
Berberis hartwegii Benth.,21.570833,-99.154722
Berberis hartwegii Benth.,21.576667,-99.154722
Berberis hartwegii Benth.,23.041667,-99.275
Berberis hartwegii Benth.,23.04583,-99.31361
Berberis hartwegii Benth.,23.04694466,-99.15445931
