scientificName,decimalLongitude,decimalLatitude
Mahonia bealei (Fort.) Carr.,109.886245,33.49053
Mahonia bealei (Fort.) Carr.,106.225633,33.422674
Mahonia bealei (Fort.) Carr.,110.766533,33.411703
Mahonia bealei (Fort.) Carr.,108.360806,33.407499
Mahonia bealei (Fort.) Carr.,104.904423,33.350557
Mahonia bealei (Fort.) Carr.,107.551891,33.290449
Mahonia bealei (Fort.) Carr.,106.639761,33.220473
Mahonia bealei (Fort.) Carr.,108.133697,33.090834
Mahonia bealei (Fort.) Carr.,107.773395,33.026941
Mahonia fortunei (Lindl.) Fedde,112.553476,33.00407
Mahonia bealei (Fort.) Carr.,104.689558,32.949601
Mahonia bealei (Fort.) Carr.,106.969741,32.812036
Mahonia bealei (Fort.) Carr.,111.087118,32.658921
Mahonia bealei (Fort.) Carr.,106.182954,32.641742
Mahonia bealei (Fort.) Carr.,110.760261,32.640171
Mahonia bealei (Fort.) Carr.,103.5989499,32.6379835
Mahonia bealei (Fort.) Carr.,105.264383,32.577965
Mahonia bealei (Fort.) Carr.,107.981362,32.575699
Mahonia bealei (Fort.) Carr.,109.8,32.53333333
Mahonia bealei (Fort.) Carr.,104.502656,32.509976
Mahonia bealei (Fort.) Carr.,106.047032,32.465467
Mahonia bealei (Fort.) Carr.,104.5536447,32.4458447
Mahonia bealei (Fort.) Carr.,105.870541,32.445761
Mahonia bealei (Fortune) Carrière,105.843358,32.4354319
Mahonia bealei (Fortune) Carriere,106.841385,32.344967
Mahonia bealei (Fort.) Carr.,109.270397,32.291257
Mahonia bealei (Fort.) Carr.,105.5247653,32.2877222
Mahonia bealei (Fort.) Carr.,106.2899029,32.2289211
Mahonia bealei (Fort.) Carr.,108.899996,32.224219
Mahonia bealei (Fortune) Carrière,108.005319,32.125347
Mahonia bealei Carr.,118.824269,32.062938
Mahonia bealei (Fortune) Carrière,110.738189,32.0283
Mahonia longibracteata Takeda,110.738189,32.0283
Mahonia bealei (Fort.) Carr.,104.368485,31.981463
Mahonia polyodonta Fedde,109.8599806,31.96404444
Mahonia bealei (Fort.) Carr.,104.4368398,31.8938917
Mahonia bealei (Fort.) Carr.,109.537523,31.875663
Mahonia fortunei (Lindl.) Fedde,111.299639,31.874771
Mahonia bealei (Fortune) Carrière,111.299639,31.874771
Mahonia bealei (Fort.) Carr.,106.743533,31.858905
Mahonia fortunei (Lindl.) Fedde,108.629497,31.8240988
Mahonia eurybracteata Fedde,108.629497,31.8240988
Mahonia fortunei (Lindl.) Fedde,114.081333,31.813542
Mahonia bealei (Fort.) Carr.,106.0797,31.805378
Mahonia bealei (Fort.) Carr.,104.735164,31.785357
Mahonia bealei (Fort.) Carr.,105.959303,31.756125
Mahonia bealei (Fort.) Carr.,103.891206,31.691479
Mahonia polyodonta Fedde,110.669874,31.676528
Mahonia bealei (Fortune) Carrière,110.669874,31.676528
Mahonia bealei (Fort.) Carr.,104.73052,31.487038
Mahonia bealei (Fort.) Carr.,120.301335,31.4759
Mahonia fortunei (Lindl.) Fedde,109.579277,31.415481
Mahonia bealei (Fort.) Carr.,109.579277,31.415481
Mahonia fortunei (Lindl.) Fedde,121.351364,31.403645
Mahonia fortunei (Lindl.) Fedde,121.504494,31.40251
Mahonia fortunei (Lindl.) Fedde,121.433885,31.388809
Mahonia bealei (Fort.) Carr.,121.517259,31.38551
Mahonia fortunei (Lindl.) Fedde,121.250282,31.383486
Mahonia bealei (Fort.) Carr.,121.249553,31.382904
Mahonia fortunei (Lindl.) Fedde,121.248058,31.373269
Mahonia fortunei (Lindl.) Fedde,121.552895,31.372893
Mahonia bealei (Fort.) Carr.,121.247318,31.371785
Mahonia bealei (Fort.) Carr.,109.6299183,31.3701365
Mahonia fortunei (Lindl.) Fedde,121.307668,31.356194
Mahonia bealei (Fortune) Carrière,110.693652,31.354711
Mahonia decipiens Schneid.,110.693652,31.354711
Mahonia fortunei (Lindl.) Fedde,121.569214,31.347531
Mahonia fortunei (Lindl.) Fedde,104.199442,31.346798
Mahonia bealei (Fort.) Carr.,121.484771,31.343933
Mahonia fortunei (Lindl.) Fedde,121.4455556,31.34083333
Mahonia fortunei (Lindl.) Fedde,121.220847,31.335606
Mahonia bealei (Fortune) Carrière,121.4243,31.3342
Mahonia fortunei (Lindl.) Fedde,121.62079,31.329881
Mahonia bealei (Fort.) Carr.,121.541633,31.322764
Mahonia fortunei (Lindl.) Fedde,121.3941667,31.31666667
Mahonia bealei (Fort.) Carr.,121.390209,31.314686
Mahonia bealei (Fort.) Carr.,121.500206,31.30081
Mahonia fortunei (Lindl.) Fedde,121.528887,31.297774
Mahonia fortunei (Lindl.) Fedde,121.23553,31.292608
Mahonia fortunei (Lindl.) Fedde,121.500806,31.287663
Mahonia fortunei (Lindl.) Fedde,121.699979,31.287545
Mahonia fortunei (Lindl.) Fedde,121.269714,31.286055
Mahonia bealei (Fort.) Carr.,121.534445,31.281941
Mahonia fortunei (Lindl.) Fedde,121.446507,31.280496
Mahonia fortunei (Lindl.) Fedde,121.64048,31.280333
Mahonia fortunei (Lindl.) Fedde,121.432567,31.276323
Mahonia fortunei (Lindl.) Fedde,121.386772,31.274403
Mahonia fortunei (Lindl.) Fedde,121.621262,31.266767
Mahonia fortunei (Lindl.) Fedde,121.734891,31.261247
Mahonia fortunei (Lindl.) Fedde,121.339911,31.254309
Mahonia bealei (Fort.) Carr.,121.410482,31.248686
Mahonia fortunei (Lindl.) Fedde,121.565175,31.248195
Mahonia bealei (Fort.) Carr.,121.32456,31.23591
Mahonia bealei (Fort.) Carr.,121.467553,31.233235
Mahonia fortunei (Lindl.) Fedde,121.4680556,31.23305556
Mahonia fortunei (Lindl.) Fedde,121.402126,31.230107
Mahonia bealei (Fort.) Carr.,121.612921,31.226068
Mahonia fortunei (Lindl.) Fedde,121.415526,31.224468
Mahonia fortunei (Lindl.) Fedde,121.394728,31.224243
Mahonia bealei (Fort.) Carr.,121.399357,31.223687
Mahonia fortunei (Lindl.) Fedde,121.470192,31.22333
Mahonia fortunei (Lindl.) Fedde,121.329221,31.221918
Mahonia bealei (Fort.) Carr.,121.415752,31.221677
Mahonia fortunei (Lindl.) Fedde,121.760572,31.220209
Mahonia fortunei (Lindl.) Fedde,121.524769,31.219903
Mahonia fortunei (Lindl.) Fedde,121.580281,31.210026
Mahonia fortunei (Lindl.) Fedde,121.640883,31.204019
Mahonia polyodonta Fedde,115.007934,31.202945
Mahonia bealei (Fort.) Carr.,121.364627,31.195667
Mahonia fortunei (Lindl.) Fedde,121.697667,31.194087
Mahonia bealei (Fort.) Carr.,121.697667,31.194087
Mahonia fortunei (Lindl.) Fedde,121.446807,31.179016
Mahonia fortunei (Lindl.) Fedde,121.342868,31.175888
Mahonia bealei (Fort.) Carr.,121.34136,31.175676
Mahonia fortunei (Lindl.) Fedde,121.698369,31.173288
Mahonia fortunei (Lindl.) Fedde,121.570282,31.172124
Mahonia fortunei (Lindl.) Fedde,121.628887,31.171943
Mahonia fortunei (Lindl.) Fedde,121.467927,31.169666
Mahonia bealei (Fort.) Carr.,121.443868,31.152668
Mahonia fortunei (Lindl.) Fedde,121.51971,31.15099
Mahonia fortunei (Lindl.) Fedde,121.4398,31.1471
Mahonia bealei (Fort.) Carr.,121.366146,31.146705
Mahonia fortunei (Lindl.) Fedde,121.437622,31.145047
Mahonia bealei (Fort.) Carr.,121.419381,31.143262
Mahonia fortunei (Lindl.) Fedde,121.371589,31.141428
Mahonia bealei (Fortune) Carrière,121.3726,31.135
Mahonia polyodonta Fedde,109.908611,31.121152
Mahonia bealei (Fort.) Carr.,109.908611,31.121152
Mahonia fortunei (Lindl.) Fedde,121.6941894,31.11969539
Mahonia fortunei (Lindl.) Fedde,121.3302778,31.11555556
Mahonia fortunei (Lindl.) Fedde,121.3691667,31.10444444
Mahonia fortunei (Lindl.) Fedde,103.658131,31.099448
Mahonia bealei (Fort.) Carr.,103.658131,31.099448
