Mahonia microphylla,Mahonia napaulensis,Mahonia bealei,Mahonia longibracteata,Mahonia decipiens,Mahonia japonica,Mahonia shenii,Mahonia cardiophylla,Mahonia bodinieri,Mahonia oiwakensis,Mahonia nitens,Mahonia bracteolata,Mahonia breviracema,Mahonia imbricata,Mahonia subimbricata,Mahonia sheridaniana,Mahonia philippinensis,Mahonia monyulensis,Mahonia polyodonta,Mahonia calamicaulis subsp. kingdon-wardiana,Mahonia gracilipes,Mahonia leptodonta,Mahonia duclouxiana,Mahonia taronensis,Mahonia paucijuga,Mahonia fordii,Mahonia hancockiana,Mahonia fortunei,Mahonia eurybracteata subsp. ganpinensis,Mahonia setosa,Mahonia nervosa,Mahonia retinervis,Mahonia conferta,Mahonia chochoco,Mahonia dictyota,Mahonia alpina,Mahonia volcania,Mahonia repens,Mahonia pumila,Mahonia gracilis,Mahonia lanceolata,Mahonia pallida,Mahonia hartwegii,Mahonia aquifolium,Mahonia pinnata,Mahonia moranensis
0,4,4,6,4,4,1,4,7,4,4,4,3,4,4,3,4,2,11,7,3,44,9,13,11,8,7,7,8,14,8,8,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,4,3,5,5,5,1,4,4,6,6,6,4,5,6,2,3,5,13,9,6,61,10,19,13,9,8,8,9,19,11,11,7,0,9,5,6,7,7,8,29,13,12,16,11,11
0,4,4,6,4,4,1,4,4,4,4,4,3,4,4,3,4,2,11,7,3,47,10,14,11,8,7,7,8,15,8,8,7,0,5,3,7,8,7,5,21,8,9,10,8,8
0,6,6,5,6,5,0,5,5,5,5,3,3,3,3,2,5,2,9,5,5,45,7,11,9,7,6,5,7,11,6,6,7,0,4,3,6,8,6,3,17,7,8,9,7,7
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,3,13,8,6,55,9,19,13,5,5,9,5,17,7,6,5,0,4,3,8,8,5,6,24,11,11,14,10,8
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,2,12,7,6,49,7,17,11,4,5,8,5,15,7,5,5,0,4,3,8,8,4,5,22,10,10,13,9,8
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,2,12,7,6,48,7,16,11,4,5,8,5,14,7,5,5,0,4,3,8,8,4,5,21,10,10,13,9,8
0,4,4,6,4,4,1,6,6,4,3,3,3,4,4,3,6,3,11,6,6,51,9,13,10,8,7,6,8,13,7,7,7,0,5,3,7,8,7,5,19,8,9,10,8,8
0,4,3,4,4,4,0,3,4,4,3,3,2,4,3,3,4,2,10,7,2,39,6,11,8,7,6,6,6,16,8,7,7,0,4,3,5,6,6,7,22,11,9,13,8,8
0,3,2,4,2,2,0,2,2,2,1,2,2,2,1,1,2,2,10,6,5,35,3,11,7,3,3,6,3,10,6,4,3,0,3,2,6,6,3,3,17,8,8,11,7,7
0,4,4,6,4,4,1,4,6,4,3,3,3,4,3,3,4,2,10,6,2,39,9,13,10,8,7,6,8,13,7,7,7,0,5,3,7,8,7,4,19,8,9,10,8,8
0,5,5,7,5,5,2,5,9,6,6,6,4,5,7,5,5,3,14,9,6,64,13,17,13,9,8,9,9,19,10,10,8,0,6,4,8,9,8,8,25,10,10,12,10,9
0,4,4,4,4,4,1,4,4,4,4,4,3,4,4,3,4,2,11,7,3,46,8,13,10,7,6,6,7,17,9,8,7,0,5,3,5,6,6,7,24,12,10,14,9,9
0,5,5,5,5,5,2,5,6,6,5,5,4,5,6,5,5,2,13,9,5,59,10,18,13,9,8,8,8,18,11,9,8,0,6,4,6,7,7,8,28,13,12,15,10,10
0,3,2,4,2,2,0,2,2,2,1,2,2,2,1,1,2,3,10,6,5,34,3,11,7,3,3,6,3,10,6,4,3,0,3,2,6,6,3,3,17,8,8,11,7,7
0,4,3,4,4,4,0,3,3,3,2,2,2,4,2,2,4,2,9,6,1,33,5,9,7,6,5,5,5,15,7,6,7,0,4,3,5,6,6,7,21,11,8,12,7,7
