"Mahonia microphylla","Mahonia napaulensis","Mahonia bealei","Mahonia longibracteata","Mahonia decipiens","Mahonia japonica","Mahonia shenii","Mahonia cardiophylla","Mahonia bodinieri","Mahonia oiwakensis","Mahonia nitens","Mahonia bracteolata","Mahonia breviracema","Mahonia imbricata","Mahonia subimbricata","Mahonia sheridaniana","Mahonia philippinensis","Mahonia monyulensis","Mahonia polyodonta","Mahonia calamicaulis subsp. kingdon-wardiana","Mahonia gracilipes","Mahonia leptodonta","Mahonia duclouxiana","Mahonia taronensis","Mahonia paucijuga","Mahonia fordii","Mahonia hancockiana","Mahonia fortunei","Mahonia eurybracteata subsp. ganpinensis","Mahonia setosa","Mahonia nervosa","Mahonia retinervis","Mahonia conferta","Mahonia chochoco","Mahonia dictyota","Mahonia alpina","Mahonia volcania","Mahonia repens","Mahonia pumila","Mahonia gracilis","Mahonia lanceolata","Mahonia pallida","Mahonia hartwegii","Mahonia aquifolium","Mahonia pinnata","Mahonia moranensis"
2.69,2.3,1.33,2.43,1.71,1.83,2.83,2.3,2.95,3.79,4.16,3.56,2.95,2.43,3.09,2.95,3.95,3.3,3.3,3.57,3.36,3.57,3.36,3.36,2.99,3.23,2.96,6.62,9.62,3.96,1.96,2.03,2.16,3.16,1.86,1.51,1.96,2.2,2.01,2.2,10.83,3.86,3.2,2.34,2.33,2.33
2.23,1.61,1.93,1.7,1.65,1.65,2.65,2.16,2.6,2.6,3.33,2.6,2.6,1.74,2.68,2.35,2.35,2.35,3.17,3.23,2.79,3.23,3.27,3.83,3.06,3.46,2.86,6.19,7.3,4.86,1.64,1.64,1.64,2.53,2.69,1.64,1.64,1.64,1.45,1.64,9.08,3.08,2.64,2.47,2.21,2.93
2.76,2.34,1.34,2.47,1.72,1.72,2.41,2.41,2.85,3.85,4.21,3.62,3.62,2.47,3.16,3.04,4.04,3.34,3.34,3.51,3.41,3.41,3.41,3.41,3.04,3.28,3.01,6.7,9.7,4.01,2.01,2.07,2.21,3.21,3.61,1.52,2.01,2.23,2.04,2.23,11,3.92,3.23,2.35,2.34,2.34
2.57,2.19,2.28,2.34,2.24,2.5,2.5,2.5,3.5,3.5,3.48,3.01,3.12,2.39,3.28,2.39,4.17,2.39,2.66,3.54,2.66,3.66,3.54,3.66,3.64,3.19,3.01,6.01,8.67,5.9,2.01,1.86,1.66,4.43,2.36,1.66,1.86,1.86,1.68,1.73,8.5,3.61,3.61,2.61,2.64,2.64
3.12,2.58,2.25,2.69,1.77,2.04,3.04,2.46,3.36,4.15,4.43,3.97,3.36,2.65,3.56,3.52,4.52,3.61,3.61,3.96,3.7,3.96,3.7,3.7,3.52,3.59,3.23,7.14,10.14,5.32,1.87,2.32,1.87,3.68,3.19,1.87,2.23,2.37,2.23,1.87,9.77,3.77,2.87,2.84,2.3,3.25
2.34,1.7,2.09,1.99,1.89,2.04,2.04,2.04,3.04,3.04,2.95,2.25,2.74,2.23,2.75,2.23,3.26,2.23,2.39,2.9,2.39,3.39,2.9,3.39,3.29,2.7,2.59,5.59,7.13,5.1,1.59,1.39,1.39,3.41,2.93,1.39,1.73,2.24,1.49,1.68,7.7,3.19,3.19,2.19,2.29,2.29
2.63,2.32,2.33,2.43,2.33,2.62,2.62,2.62,3.62,3.62,3.62,3.21,3.22,2.43,3.42,2.43,4.4,2.43,2.73,3.71,2.73,3.73,3.71,3.73,3.73,3.32,3.12,6.12,9.08,6.11,2.12,1.91,1.73,4.7,3.27,1.73,1.91,1.91,1.73,1.74,8.71,3.72,3.72,2.72,2.73,2.73
1.59,1.38,1.64,1.39,1.56,1.29,2.29,1.89,1.91,2.89,3.48,2.49,1.91,1.87,1.9,1.51,2.51,2.48,2.84,2.56,2.53,2.56,2.56,3.54,2.64,3.42,2.44,5.3,8.3,4.44,1.43,1.28,1.43,1.48,3.27,1.43,1.28,1.77,1.44,1.43,8.46,2.46,2.43,2.14,2.12,2.64
1.95,1.5,1.78,1.54,1.61,1.47,2.47,2.02,2.25,3.18,3.7,2.84,2.25,2.06,2.29,1.98,2.98,2.75,3.01,2.89,2.66,2.89,2.91,3.68,2.85,3.44,2.65,5.35,6.88,4.65,1.54,1.53,1.54,2,1.91,1.54,1.5,1.91,1.34,1.54,8.77,2.77,2.54,2.31,2.17,2.78
1.81,1.72,1.19,1.9,1.59,1.4,2.4,1.97,2.11,3.06,3.61,2.7,2.11,1.98,2.13,1.79,2.79,2.64,2.64,2.76,2.65,2.76,2.65,2.65,2.34,2.47,2.41,5.56,8.56,4.57,1.49,1.43,1.49,1.79,2.68,1.49,1.41,1.85,1.55,1.49,8.64,2.64,2.85,2.19,2.19,2.19
