"Mahonia microphylla","Mahonia napaulensis","Mahonia bealei","Mahonia longibracteata","Mahonia decipiens","Mahonia japonica","Mahonia shenii","Mahonia cardiophylla","Mahonia bodinieri","Mahonia oiwakensis","Mahonia nitens","Mahonia bracteolata","Mahonia breviracema","Mahonia imbricata","Mahonia subimbricata","Mahonia sheridaniana","Mahonia philippinensis","Mahonia monyulensis","Mahonia polyodonta","Mahonia calamicaulis subsp. kingdon-wardiana","Mahonia gracilipes","Mahonia leptodonta","Mahonia duclouxiana","Mahonia taronensis","Mahonia paucijuga","Mahonia fordii","Mahonia hancockiana","Mahonia fortunei","Mahonia eurybracteata subsp. ganpinensis","Mahonia setosa","Mahonia nervosa","Mahonia retinervis","Mahonia conferta","Mahonia chochoco","Mahonia dictyota","Mahonia alpina","Mahonia volcania","Mahonia repens","Mahonia pumila","Mahonia gracilis","Mahonia lanceolata","Mahonia pallida","Mahonia hartwegii","Mahonia aquifolium","Mahonia pinnata","Mahonia moranensis"
0,2.9,9.1,2.4,0.9,6.8,0.7,1.6,2.6,2.6,2.4,2.5,2.3,2.8,2.8,3.4,2.7,3.1,4,4,2.9,1,1,1.1,1.2,1.2,1.9,1.1,0.9,0.9,1.9,1.1,2.9,0,2.9,2.61,1.1,1.4,4.1,3.5,1,0.8,0.3,3.8,5.6,3.3
0,2.4,10.2,2.4,1.2,9.6,1.2,2,2.7,2.2,2.2,3,2.9,3,3,2.7,2.2,3.2,3.1,2.6,2.2,0.8,0.8,1.8,1.8,1.2,1.8,1.3,1.3,1.3,3,1.3,4,0,4,3.51,1.1,2.2,4.3,3.1,2.3,0.4,0.4,4.9,7.8,3.6
0,1.8,7.8,1.6,0.9,7.2,0.8,1.7,2.7,2.8,2.5,2.6,2.4,2.8,2.8,3.1,2.8,3.3,2.1,3.1,3.1,1,1,1.1,1.2,1.2,2,1.2,0.9,0.9,2.1,1.1,3.1,0,3.1,3.1,1,1.5,4,3.5,1,0.9,0.7,4,6.5,3
0,2.4,7.6,1.8,0.9,7,0.9,1,2,2,2,2,2,2,2,2.1,2,1.9,3.1,3.1,2,0.8,0.9,1.3,1.3,1.3,1.3,0.4,0.3,0.5,0.9,0.8,1.8,0,3.8,1.93,0.8,0.8,3.5,2.6,1.5,0.1,0.1,3.2,4.3,3.1
0,1,4.5,1.1,1.1,4.4,1.3,1.6,2.5,2,2,2,1.7,2.4,2.5,2.5,2.1,3.1,2.1,2.4,1.4,0.7,0.7,1.6,1.6,1.1,1.2,1.2,1.1,1.1,1.9,1.2,1.9,0,3.2,3.47,1.2,1.9,4,2.7,2,0.3,0.3,2.7,4,4.1
0,0.9,3.9,0.9,0.9,3.6,1.1,1.4,2.3,1.8,1.8,1.8,1.6,2.1,2.3,2.3,2,3,2,2.2,1.2,0.5,0.6,1.4,1.4,1,1.1,1.1,0.9,0.9,1.7,1.1,1.7,0,3.1,2.93,1.1,1.7,3.8,2.4,1.8,0.3,0.3,2.4,3.8,3.9
0,0.9,3.9,0.9,0.9,3.5,1,1.4,2.3,1.8,1.8,1.8,1.6,2.1,2.3,2.3,2,3,2,2.2,1.2,0.5,0.6,1.3,1.3,1,1.1,1.1,0.9,0.9,1.6,1.1,1.6,0,3.1,2.88,1.1,1.6,3.8,2.3,1.8,0.3,0.3,2.3,3.8,3.9
0,2.8,8.7,2.2,1.3,8,1.3,1.6,2.4,2.5,2.3,2.4,2.2,2.5,2.5,3,2.4,2.1,3.7,3.7,2.6,1,1.3,1.6,1.5,1.5,1.7,1,0.7,0.7,1.8,1,2.3,0,4.3,2.42,1,1,3.9,3.2,1.9,0.3,0.3,3.6,5.2,3.3
0,1.4,6.4,1.1,0.8,5.8,0.5,1.5,2.5,2.5,2.3,2.2,2,2.7,2.7,2.9,2.5,2.7,1.5,2.5,1.3,0.9,0.9,1,1.1,1.1,1.1,0.9,0.8,0.8,1.5,1,2.5,0,2.5,2.87,0.9,1.2,3.3,3.1,0.8,0.7,0.5,3.5,5.7,2.7
0,1.2,5.8,0.9,0.5,1.6,0.4,1.1,1.9,1.4,1.4,1.4,1.4,1.5,1.9,1.9,1.7,2.7,1.7,1.8,0.8,0.2,0.4,0.9,0.9,0.8,0.8,0.8,0.5,0.5,1,0.9,1,0,2.9,1.62,0.9,1,3.3,1.4,1.3,0.1,0.1,1.4,3.3,3.5
